question_id,question_text,category,product_ids,max_relevance,keywords_matched
q0001,🛳 크루즈닷 MSC 5/10 크루즈 여행 😎 님과 카카오톡 대화 저장한 날짜 : 2026-05-16 22:43:42,기타,,0.00,
q0002,"--------------- 2026년 5월 9일 토요일 --------------- 모니카님이 들어왔습니다.타인, 기관 등의 사칭에 유의해 주세요. 금전 또는개인정보를 요구 받을",정책&수수료,"Room, Policy",0.75,"Room, Policy"
q0003,도쿄 크루즈 터미널을 처음 이용해보시는 분들이,기타,Destination,0.85,Destination
q0004,당황해 하지 않도록 크루즈 터미널 관련 정보를 정리해둔 정보를 공유해 드리니 참고 부탁드립니다~!ㅎㅎ [팽원준 맥스 점장 (크루즈 전문)] [오후 9:19] 사진 [팽원준 맥스 .,탑승&수속,Boarding,0.85,Boarding
q0005,1층 외부에서 크루즈 패키징을 나눠드릴 예정입니다. ▶ 나눠드리는 장소는 변경될 수 있습니다. ▶ 크루즈닷 로고가 있는 붉은 후드티를 입고 있습니다. [팽원준 맥스 점장 (크루즈 ,탑승&수속,"Dining, Activity, Boarding",0.90,"Dining, Activity, Boarding"
q0006,사우나까지 잇고 아니 호텔60만이면 차라리 혼자서 세부를 한번 더가지 10시즘 나가야겟내용 [★아테나여신★] [오전 6:30] 택시한번 안타구 지하철로 댕겼구 20만이면 가성비있.,기술&앱,"320, Activity, Boarding, Document, Destination, Policy",0.95,"TIP, Activity, Boarding, Document, Destination, Policy"
q0007,4. [kb j] [오전 9:33] 우리 스탭은 따로 잇는지요? [크루즈_김윤미] [오전 9:42] 'MSC for Me'에 대해 알아보세요 - [링크],정책&수수료,"320, Room, Card",0.95,"TIP, Room, Card"
q0008,미리 다운받아 가시는것 추천드립니다 [크루즈_김윤미] [오전 9:47] 사진 [크루즈_김윤미] [오전 9:47] 크루즈닷 빨간 후드티를 입고 여러분을 맞이할꺼예요 [팽원준 맥스 .,탑승&수속,Boarding,0.85,Boarding
q0009,1층 외부에서 크루즈 패키징을 나눠드릴 예정입니다. ▶ 나눠드리는 장소와 시간은 조금 변경될 수 있습니다. ▶ 크루즈닷 로고가 있는 붉은 후드티를 입은 스탭이 나눠드립니다. [팽원,탑승&수속,"Room, Activity, Boarding, Document, Card",0.95,"Room, Activity, Boarding, Document, Card"
q0010,🚨 냉장고 안에 있는 음료는 유료입니다,식사&음료,Beverage,0.90,Beverage
q0011,"➡️ 크루즈 티켓, 택이 필요하신 분들은 제가 도와드릴게요 조금만 기다려주세요. 열심히 가고 있습니다💦 [팽원준 맥스 점장 (크루즈 전문)] [오전 11:55] 먼저 승선하시는 .",탑승&수속,"Room, Dining, Activity, Boarding, Document, Card",0.95,"Room, Dining, Activity, Boarding, Document, Card"
q0012,■ 초간단! MSC 벨리시마 카드 등록 [링크] [팽원준 맥스 점장 (크루즈 전문)] [오후 1:15] 사진 [팽원준 ...,기타,Card,0.80,Card
q0013,파우치 안에도 지도가 있습니다^^ 크루즈 타신분들은 객실에서 객실카드 챙기시고 15층에서 식사하세요^^ [김응기] [오후 1:16] 방에 바로 들어가면 되나요? [장근영(페르)].,탑승&수속,"Room, Dining, Activity, Boarding, Card",0.95,"Room, Dining, Activity, Boarding, Card"
q0015,[ju bong] [오후 1:47] 네 [팽원준 맥스 점장 (크루즈 전문)] [오후 1:53] @김대호 김대호님~ 저에게 카톡 전화주세요~~!!! [팽원준 맥스 점장 (크루즈 전문,탑승&수속,"Room, Dining, Activity, Boarding, Card",0.95,"Room, Dining, Activity, Boarding, Card"
q0016,*극장 내에서는 음식물 반입이 금지되어 있습니다.,식사&음료,,0.00,
q0017,**저작권법으로 인해 사진 촬영 및 비디오 촬영이 금지되어 있습니다. 큰 소음에 민감하신 분은 앞쪽 네 줄 좌석을 피하시는 것이 좋습니다.,정책&수수료,,0.00,
q0018,"🚨예약하신 분은 공연 시작 30분 전부터 입장이 가능하며, 5분 전까지 좌석이 보장됩니다. 이후에는 미예약 좌석이 해제되고 모든 관객에게 개방됩니다.",선상활동,"Room, Activity",0.85,"Room, Activity"
q0019,본 공연 관람은 예약이 필수입니다. 김경란님이 들어왔습니다. [신영미] [오후 6:37] 정찬은 오늘 하루만 있나요? [팽원준 맥스 점장 (크루즈 전문)] [오후 6:37] 사진 ,탑승&수속,"Room, Dining, Activity, Boarding, Destination, Card",0.95,"Room, Dining, Activity, Boarding, Destination, Card"
q0020,내일아침 레스토랑까지 가기 귀찮으신분들을 위해 객실에서 조식신청할 수 있는 방법 공유해 드립니다~!ㅎㅎ,식사&음료,"Room, Dining",0.95,"Room, Dining"
q0021,[링크],기타,,0.00,
q0022,※ 꼭 새벽 2시전까지 객실문앞에 걸어주세요~! [★아테나여신★] [오후 8:26] 미니바는 생수제외인가요? 생수도 유료? [모니카] [오후 8:31] 생수 유료입니다~~~ [신홍,객실&카드,"Room, Dining",0.95,"Room, Dining"
q0023,문앞에 붙여주세요~! 예쁘게 꾸민 모습 카톡방에 올려주세오~^^ [★아테나여신★] [오후 9:41] 우하 호달달 난 입구컷 표지딱 왼쪽 발걸음 10발자국이 내 방이지롱♡♡♡ [★아,객실&카드,Room,0.70,Room
q0024,"음료수도 잘 안마심 ♡♡♡ [팽원준 맥스 점장 (크루즈 전문)] [오후 10:24] 동영상 [팽원준 맥스 점장 (크루즈 전문)] [오후 10:24] 5층, 6층 갤러리아로 오세요 ",식사&음료,"Dining, Beverage, Boarding, Destination",0.90,"Dining, Beverage, Boarding, Destination"
q0025,안하면 불이익? [★아테나여신★] [오전 10:27] 사진 [케로로] [오전 10:27] 금일 나가서 음료를 사서 들어오는건 문제 없나요? [팽원준 맥스 점장 (크루즈 전문)] [,식사&음료,Beverage,0.90,Beverage
q0026,[★아테나여신★] [오전 10:28] 사진 [★아테나여신★] [오전 10:28] 사진 [팽원준 맥스 점장 (크루즈 전문)] [오전 10:29] @케로로 항차마다 현장마다 달라지는.,식사&음료,,0.00,
q0027,[★아테나여신★] [오전 10:31] 원준 점장님 6층에 잠시 메인계단 면담좀 [팽원준 맥스 점장 (크루즈 전문)] [오전 10:32] @all 객실카드에 신용카드 연동 못하신..,탑승&수속,"Room, Card",0.95,"Room, Card"
q0028,물어볽것이 [★아테나여신★] [오전 10:32] 지금갈게유 [팽원준 맥스 점장 (크루즈 전문)] [오전 10:33] 네네~! [★아테나여신★] [오전 11:35] 동영상 [★아테나,식사&음료,"Dining, Activity",0.90,"Dining, Activity"
q0029,ㅡ 뷔페 오전11시 ~ 오후3시 ㅡ정찬 식당 오전 11시30분 ~ 오후1시 (지정 좌석 아님),식사&음료,Dining,0.85,Dining
q0030,맛있는 식사 되세요^-^ [★아테나여신★] [오후 12:02] 동영상 [★아테나여신★] [오후 12:03] 동영상 [★아테나여신★] [오후 12:55] 마술은 예약안함 못봐용,식사&음료,Dining,0.90,Dining
q0031,? [팽원준 맥스 점장 (크루즈 전문)] [오후 1:02] 좌석이 다 예약차면 보실수 없기에 예약하시는걸 추천합니다 [신영미] [오후 1:07] 요금정산서 받았는데 잘못된건 어디.,탑승&수속,"320, Dining, Policy",0.95,"TIP, Dining, Policy"
q0032,참고 하실 수 있는 이미지 첨부해 드릴게요~!ㅎㅎ [장근영(페르)] [오후 4:04] 사진 [팽원준 맥스 점장 (크루즈 전문)] [오후 4:05] 간단하게 레고 동상 보이는 18층,기항지&투어,320,0.95,TIP
q0033,고베 항만청의 후원으로 승객과 승무원을 위해 고베 크루즈 터미널과 시내 중심가(모토마치 지역) 간 무료 셔틀 버스 서비스가 제공됩니다.,기항지&투어,,0.00,
q0034,이 서비스는 MSC 크루즈에서 운영하는 것이 아니라 별도로 운영됩니다.,기타,,0.00,
q0035,셔틀 버스는 교통 상황에 따라 평균 5~10분 간격으로 18:30부터 21:00까지 운행됩니다 ^-^ [케로로] [오후 4:49] 자세히 알려주셔서 감사합니다 [모니카] [오후 .,기항지&투어,,0.00,
q0036,🗓 5월 11일 (월) 오늘 내리실분들은,기타,,0.00,
