question_id,question_text,category,product_count,max_relevance,validity
q0002,,정책&수수료,2,0.750,VALID
q0003,,기타,1,0.850,VALID
q0004,,탑승&수속,1,0.850,VALID
q0005,,탑승&수속,3,0.900,VALID
q0006,,기술&앱,6,0.950,VALID
q0007,,정책&수수료,3,0.950,VALID
q0008,,탑승&수속,1,0.850,VALID
q0009,,탑승&수속,5,0.950,VALID
q0010,,식사&음료,1,0.900,VALID
q0011,,탑승&수속,6,0.950,VALID
q0012,,기타,1,0.800,VALID
q0013,,탑승&수속,5,0.950,VALID
q0015,,탑승&수속,5,0.950,VALID
q0018,,선상활동,2,0.850,VALID
q0019,,탑승&수속,6,0.950,VALID
q0020,,식사&음료,2,0.950,VALID
q0022,,객실&카드,2,0.950,VALID
q0023,,객실&카드,1,0.700,WARNING
q0024,,식사&음료,4,0.900,VALID
q0025,,식사&음료,1,0.900,VALID
q0027,,탑승&수속,2,0.950,VALID
q0028,,식사&음료,2,0.900,VALID
q0029,,식사&음료,1,0.850,VALID
q0030,,식사&음료,1,0.900,VALID
q0031,,탑승&수속,3,0.950,VALID
q0032,,기항지&투어,1,0.950,VALID
q0039,,탑승&수속,1,0.850,VALID
q0041,,식사&음료,1,0.850,VALID
q0042,,식사&음료,2,0.850,VALID
q0048,,탑승&수속,1,0.850,VALID
q0050,,탑승&수속,1,0.850,VALID
q0051,,식사&음료,1,0.850,VALID
q0052,,탑승&수속,4,0.950,VALID
q0053,,탑승&수속,3,0.900,VALID
q0055,,탑승&수속,1,0.700,WARNING
q0056,,탑승&수속,2,0.950,VALID
q0057,,탑승&수속,3,0.950,VALID
q0058,,탑승&수속,1,0.800,VALID
q0060,,기항지&투어,1,0.950,VALID
q0063,,객실&카드,2,0.950,VALID
q0065,,식사&음료,1,0.900,VALID
q0066,,객실&카드,1,0.950,VALID
q0067,,탑승&수속,1,0.700,WARNING
q0070,,객실&카드,1,0.950,VALID
q0071,,기술&앱,4,0.950,VALID
q0072,,선상활동,1,0.700,WARNING
q0073,,객실&카드,1,0.950,VALID
q0076,,탑승&수속,2,0.750,VALID
q0080,,선상활동,5,0.950,VALID
q0082,,식사&음료,1,0.700,WARNING
q0085,,정책&수수료,2,0.750,VALID
q0087,,식사&음료,6,0.900,VALID
q0088,,기항지&투어,3,0.850,VALID
q0089,,기항지&투어,1,0.800,VALID
q0091,,정책&수수료,2,0.900,VALID
q0093,,선상활동,4,0.850,VALID
q0099,,정책&수수료,2,0.850,VALID
q0101,,탑승&수속,2,0.850,VALID
q0102,,탑승&수속,5,0.950,VALID
q0103,,식사&음료,5,0.950,VALID
q0104,,객실&카드,3,0.950,VALID
q0105,,정책&수수료,3,0.950,VALID
q0106,,정책&수수료,5,0.950,VALID
q0107,,기항지&투어,4,0.950,VALID
q0108,,기타,1,0.800,VALID
q0109,,기항지&투어,3,0.850,VALID
q0110,,기항지&투어,1,0.700,WARNING
q0112,,객실&카드,1,0.950,VALID
q0113,,탑승&수속,4,0.850,VALID
q0114,,기항지&투어,1,0.800,VALID
q0115,,식사&음료,4,0.950,VALID
q0116,,기타,1,0.700,WARNING
q0117,,탑승&수속,2,0.850,VALID
q0118,,식사&음료,2,0.850,VALID
q0124,,탑승&수속,1,0.950,VALID
q0125,,탑승&수속,2,0.850,VALID
q0127,,객실&카드,1,0.950,VALID
q0129,,객실&카드,1,0.950,VALID
q0130,,객실&카드,1,0.950,VALID
q0131,,선상활동,4,0.850,VALID
q0132,,식사&음료,1,0.850,VALID
q0135,,기타,1,0.850,VALID
q0137,,기타,1,0.850,VALID
q0138,,탑승&수속,1,0.750,VALID
q0139,,식사&음료,1,0.850,VALID
q0141,,식사&음료,2,0.950,VALID
q0143,,탑승&수속,1,0.850,VALID
q0144,,탑승&수속,1,0.850,VALID
q0145,,기항지&투어,1,0.850,VALID
q0149,,객실&카드,3,0.950,VALID
q0150,,선상활동,2,0.900,VALID
q0151,,선상활동,1,0.850,VALID
q0153,,탑승&수속,1,0.850,VALID
q0154,,정책&수수료,5,0.950,VALID
q0159,,정책&수수료,1,0.700,WARNING
q0160,,기항지&투어,1,0.850,VALID
q0161,,탑승&수속,3,0.950,VALID
q0166,,선상활동,1,0.950,VALID
q0171,,식사&음료,1,0.900,VALID
q0173,,기타,1,0.700,WARNING
